,poet,poem,dynasty,setiments,title,arousal
0,王寂,吾爱吾庐事事幽|此生随分得优游|穷冬夜话蒲团暖|长夏朝眠竹簟秋,金,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '3'}",易足斋,"{'holistic': '2', 'line1': '1', 'line2': '2', 'line3': '2', 'line4': '1'}"
1,王安石,淮圃新阴百亩凉|分甘每得助秋尝|张公大谷虽云美|谁肯苞苴出晋阳,宋,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '3'}",耿天騭惠梨次韵奉酬三首,"{'holistic': '3', 'line1': '2', 'line2': '3', 'line3': '4', 'line4': '3'}"
2,陆游,白发无情日日生|散愁聊复作山行|幽禽似欲嘲衰病|故学禅房杵药声,宋,"{'holistic': '2', 'line1': '2', 'line2': '2', 'line3': '2', 'line4': '3'}",捣药鸟,"{'holistic': '1', 'line1': '1', 'line2': '2', 'line3': '1', 'line4': '2'}"
3,王绂,堂前慈竹翠婆娑|堂上慈亲鬓已皤|歴尽氷霜当雨露|诸縁应见锦绷多,明,"{'holistic': '3', 'line1': '4', 'line2': '2', 'line3': '3', 'line4': '3'}",写竹于慈节堂巻,"{'holistic': '3', 'line1': '3', 'line2': '2', 'line3': '3', 'line4': '4'}"
4,刘克庄,津吏难绳束|滩船易覆翻|能除一方害|不忝二刘孙,宋,"{'holistic': '3', 'line1': '3', 'line2': '2', 'line3': '3', 'line4': '3'}",送勋侄之官嵢峡五言五首,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '4'}"
5,王建,眼暗没功夫|慵来剪刻粗|自看花样古|称得少年无,唐,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '3'}",酬从侄再看诗本,"{'holistic': '2', 'line1': '2', 'line2': '1', 'line3': '3', 'line4': '4'}"
6,罗泽南,今古兴亡感慨同|时穷世乱见孤忠|曾闻梦绕熊湘阁|公泣潭州我泣公,淸,"{'holistic': '2', 'line1': '3', 'line2': '2', 'line3': '3', 'line4': '2'}",吊蔡江门先生,"{'holistic': '4', 'line1': '4', 'line2': '4', 'line3': '3', 'line4': '5'}"
7,黄裳,阴遥俄喜日华落|静久更宜山鸟鸣|荣谢易为花厚薄|岁寒还得岁寒情,宋,"{'holistic': '4', 'line1': '4', 'line2': '4', 'line3': '3', 'line4': '4'}",万竹轩,"{'holistic': '4', 'line1': '4', 'line2': '2', 'line3': '3', 'line4': '4'}"
8,白居易,无月无灯寒食夜|夜深犹立闇花前|忽因时节惊年几|四十如今欠一年,唐,"{'holistic': '2', 'line1': '1', 'line2': '1', 'line3': '2', 'line4': '2'}",寒食夜,"{'holistic': '2', 'line1': '2', 'line2': '3', 'line3': '2', 'line4': '3'}"
9,范仲淹,静映寒林晚未芳|人人欲看寿阳妆|玉颜须傍韶春笑|莫斗严风与恶霜,宋,"{'holistic': '4', 'line1': '4', 'line2': '3', 'line3': '4', 'line4': '3'}",和提刑赵学士探梅三绝,"{'holistic': '3', 'line1': '1', 'line2': '3', 'line3': '4', 'line4': '5'}"
10,王维,独在异乡为异客|每逢佳节倍思亲|遥知兄弟登高处|遍插茱萸少一人,唐,"{'holistic': '2', 'line1': '2', 'line2': '2', 'line3': '3', 'line4': '2'}",九月九日忆山东兄弟,"{'holistic': '2', 'line1': '2', 'line2': '4', 'line3': '3', 'line4': '2'}"
11,朱淑真,起来不喜匀红粉|强把菱花照病容|腰瘦故知闲事恼|泪多只为别情浓,宋,"{'holistic': '1', 'line1': '3', 'line2': '2', 'line3': '2', 'line4': '1'}",睡起二首,"{'holistic': '2', 'line1': '1', 'line2': '2', 'line3': '4', 'line4': '5'}"
12,白玉蟾,二毛可惜雪霜侵|日有清都绛阙心|枝冷鹊翻檐外影|庭空鸿堕月边音,宋,"{'holistic': '2', 'line1': '2', 'line2': '3', 'line3': '3', 'line4': '2'}",冬夕酌月,"{'holistic': '1', 'line1': '1', 'line2': '2', 'line3': '2', 'line4': '1'}"
13,杨万里,归近溪桥东复东|蓼花迎路舞西风|草深一鸟忽飞起|侬不觉它它觉侬,宋,"{'holistic': '3', 'line1': '3', 'line2': '4', 'line3': '3', 'line4': '3'}",晚归再度西桥四首,"{'holistic': '3', 'line1': '3', 'line2': '4', 'line3': '2', 'line4': '3'}"
14,杨万里,今岁春流涨又销|水痕犹印石间茅|浮槎却被春流误|长挂江边小树梢,宋,"{'holistic': '2', 'line1': '3', 'line2': '3', 'line3': '2', 'line4': '3'}",出真阳峡十首,"{'holistic': '3', 'line1': '2', 'line2': '3', 'line3': '2', 'line4': '3'}"
15,白玉蟾,我有随身一颗珠|见时似有觅时无|金鸡叫罢无人见|月射寒光满太虚,宋,"{'holistic': '2', 'line1': '3', 'line2': '3', 'line3': '2', 'line4': '2'}",曲肱诗,"{'holistic': '2', 'line1': '3', 'line2': '2', 'line3': '2', 'line4': '2'}"
16,方献夫,御苑亲耕喜有秋|闾阎犹系花农忧|深惭变理臣无补|祇觉霜添两鬓愁,明,"{'holistic': '2', 'line1': '4', 'line2': '2', 'line3': '2', 'line4': '1'}",恭和圣制秋日书怀,"{'holistic': '2', 'line1': '4', 'line2': '1', 'line3': '2', 'line4': '1'}"
17,王夫之,枯木难消只赋心|散愁长欲寄知音|调孤雌霓休文句|哭碎灵床子敬琴,明,"{'holistic': '1', 'line1': '2', 'line2': '1', 'line3': '2', 'line4': '1'}",哭欧阳三弟叔敬沈湘六首,"{'holistic': '2', 'line1': '1', 'line2': '1', 'line3': '2', 'line4': '5'}"
18,陆游,牵经引礼人谁聴|是古非今世共憎|何似对花倾绿酒|自歌一曲醉腾腾,宋,"{'holistic': '3', 'line1': '3', 'line2': '3', 'line3': '3', 'line4': '4'}",醉吟三首,"{'holistic': '4', 'line1': '3', 'line2': '5', 'line3': '3', 'line4': '5'}"
19,陆游,画檐鸣雨早秋天|不喜新凉喜有年|眼里香秔三万顷|寄声父老共欣然,宋,"{'holistic': '4', 'line1': '3', 'line2': '4', 'line3': '3', 'line4': '4'}",癸巳夏旁郡多苦旱惟汉嘉数得雨然未足也立秋夜三鼓雨至明日晡后未止高下沾足喜而有赋二首,"{'holistic': '4', 'line1': '2', 'line2': '4', 'line3': '4', 'line4': '5'}"
