Project Name,contract,logo_link,Group,M1,M3,M2,Holder_1,Seller_1,Buyer_1,n_holder,Holder,Seller,Buyer
- TronWars -,0x537b2279d8f625a1b74cf3c1f0e2122fb047a6b0,https://lh3.googleusercontent.com/dok2G-cYiHNVPeaoKzJSBCbNy124UqUwHRcOa4fWIfZfodcOqD3hY9frGRA0o9wdd99WuXmPSmzMBggIhB7knxrU0mFU_u0K2XEUhg=s120,1,0.279448879,0.315,0.138,0.844782034,0.116248349,0.038969617,8,0.143538729,0.031128253,0.825333018
0N1Force,0x3bf2922f4520a8ba0c2efc3d2a1539678dad5e9d,https://lh3.googleusercontent.com/7gOej3SUvqALR-qkqL_ApAt97SpUKQOZQe88p8jPjeiDDcqITesbAdsLcWlsIg8oh7SRrTpUPfPlm12lb4xDahgP2h32pQQYCsuOM_s=s130,3,0.349392339,0.772,0.7191,0.949531117,0.023699915,0.026768968,20,0.460986435,0.325779113,0.213234453
3Landers,0xb4d06d46a8285f4ec79fd294f78a881799d8ced9,https://lh3.googleusercontent.com/jM8itRiSM3hI8RWokMkhR97JdoIzukU3DUEO-9MD3i6r6DnTBW6efbv1617zES0MfoiWzW4f3UaL9lgRr61vf3Cj4DDPIsk_XjNBXQ=s120,4,0.395288518,0.268,0.79,0.96124031,0.027131783,0.011627907,32,0.243145197,0.11816747,0.638687333
Akutars,0xaad35c2dadbe77f97301617d82e661776c891fa9,https://lh3.googleusercontent.com/lU7HLkzbdUB07EpfR2wvLkLi8Msc5JyE5d7iDNmgVn3EdnNnNM-2c-027IHP0W8T1t2wH5Hl2gtv90tzF_LdUC6Q-UBYwXpBfMaOCA=s120,2,0.342897292,0.816,0.742,0.955351421,0.030762658,0.013885922,62,0.045423805,0.566228025,0.38834817
alien frens,0x123b30e25973fecd8354dd5f41cc45a3065ef88c,https://lh3.googleusercontent.com/_zidXBb2QsMBD6OYdjED63tczeXDUr1ah7zvhSSLHQjU4BF-H-lUexkLJ76_ahmbkkItEiH738jVPG88DOFVdt4GX377cvNNgCyzFT4=s120,5,0.691448426,0.214,0.13,0.941176471,0.035087719,0.02373581,55,0.392419912,0.234555017,0.37302507
Animetas,0x18df6c571f6fe9283b87f910e41dc5c8b77b7da5,https://lh3.googleusercontent.com/H4lr_E8L6NJbliB5te9pjIEix1hDk0XYKi8UCCmGARKUV9ZL73_mgMYzRgmVcsmoczjb3OHd5o_PdFGxMb8ztIqV-vZhgGzMJrTo=s130,3,0.20472913,0.213,0.339,0.733727811,0.125739645,0.140532544,73,0.425983971,0.42869359,0.145322439
Azuki,0xed5af388653567af2f388e6224dc7c4b3241c544,https://lh3.googleusercontent.com/H8jOCJuQokNqGBpkBN5wk1oZwO7LM8bNnrHCaekV2nKjnCqw6UB5oaH8XyNeBDj6bA_n1mjejzhFQUP3O1NfjFLHr3FOaeHcTOOT=s120,5,0.417918347,0.79,0.89,0.934192855,0.038409885,0.02739726,2,0.07823103,0.110089833,0.811679138
BEANZ Official,0x306b1ea3ecdf94ab739f1910bbda052ed4a9f949,https://static.nftgo.io/asset/1650705191193.png,4,0.681827884,0.872,0.437,0.888888889,0.028690662,0.082420449,39,0.319399247,0.077086682,0.60351407
Bored Ape Kennel Club,0xba30e5f9bb24caa003e9f2f0497ad287fdf95623,https://lh3.googleusercontent.com/l1wZXP2hHFUQ3turU5VQ9PpgVVasyQ79-ChvCgjoU5xKkBA50OGoJqKZeMOR-qLrzqwIfd1HpYmiv23JWm0EZ14owiPYaufqzmj1=s120,0,0.579830068,0.971,0.386,0.948776584,0.017379373,0.033844043,51,0.415575983,0.342513891,0.241910127
Bored Ape Yacht Club,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,https://static.nftgo.io/asset/1651210195557.png,0,0.523977446,0.36,0.693,0.94820087,0.035389482,0.016409648,81,0.193350097,0.029237109,0.777412794
Boss Beauties,0xb5c747561a185a146f83cfff25bdfd2455b31ff4,https://lh3.googleusercontent.com/pSvJC9PfgSxXROesWTc2SACmMT598Vuv0g5kURR7o-0wkdhkRQKIw__fghIs-zhL-Ja-qOzI7_twdyglU75FOIksxpuuEhh4-fVDEK8=s130,3,0.295114737,0.501,0.569,0.95021266,0.024268201,0.025519139,30,0.74430689,0.240681042,0.015012068
BoxcatPlanet Official,0x13bd972b0bfaefc9538a43c1fda11d71c720cd47,https://openseauserdata.com/files/b839843c273057b4eac6533a1da9d443.gif,2,0.454957238,0.179,0.94,0.945968184,0.033187054,0.020844761,36,0.020522164,0.958959336,0.020518499
Call Me Cutie Pie,0x98f832d1e7808652f380db21568dc96efc02e7da,https://openseauserdata.com/files/3bacd1c91c2acf7b76fad4be7759a7c7.jpg,2,0.399505057,0.769,0.521,0.870214753,0.070028011,0.059757236,67,0.726513506,0.057202932,0.216283562
CLONE X - X TAKASHI MURAKAMI,0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b,https://lh3.googleusercontent.com/XN0XuD8Uh3jyRWNtPTFeXJg_ht8m5ofDx6aHklOiy4amhFuWUa0JaR6It49AH8tlnYS386Q0TW_-Lmedn0UET_ko1a3CbJGeu5iHMg=s120,5,0.704475967,0.168,0.318,0.759808612,0.157894737,0.082296651,30,0.125732589,0.872389757,0.001877653
Cool Cats NFT,0x1a92f7381b9f03921564a437210bb9396471050c,https://lh3.googleusercontent.com/LIov33kogXOK4XZd2ESj29sqm_Hww5JSdO7AFn5wjt8xgnJJ0UpNV9yITqxra3s_LMEW1AnnrgOVB_hDpjJRA1uF4skI5Sdi_9rULi8=s120,0,0.431660312,0.087,0.942,0.843551797,0.086680761,0.069767442,25,0.109215182,0.502587431,0.388197387
Coolman's Universe,0xa5c0bd78d1667c13bfb403e2a3336871396713c5,https://lh3.googleusercontent.com/E2qCzhIiOS7mfw-vkPU3ROBTbNMeSaC47DLYXd9qiV275KGgciNbbKFgpffwOEpTTJ9JHHztmv1nnh6bOo0KpoFueK4EitHJzsqX=s120,5,0.733288928,0.295,0.383,0.95215311,0.033732057,0.014114833,37,0.150238603,0.142032182,0.707729214
CrypToadz by GREMPLIN,0x1cb1a5e65610aeff2551a50f76a87a7d3fb649c6,https://lh3.googleusercontent.com/iofetZEyiEIGcNyJKpbOafb_efJyeo7QOYnTog8qcQJhqoBU-Vu9l3lXidZhXOAdu6dj4fzWW6BZDU5vLseC-K03rMMu-_j2LvwcbHo=s130,3,0.293746149,0.825,0.407,0.967678746,0.007695537,0.024625717,69,0.48992295,0.337314961,0.17276209
CryptoBatz by Ozzy Osbourne,0xc8adfb4d437357d0a656d4e62fd9a6d22e401aa0,https://lh3.googleusercontent.com/oHF2355rmbMguzNweOA5Bl3DCOAyjWai3ZelFnlpoG7N6HmGIvaRgvAW6ajDCyJGZp9wIkXv8SQeucSlN-TM5SxNDFBQL7wrOBk-CQ=s120,1,0.952747563,0.518,0.964,0.952631579,0.016081871,0.03128655,36,0.216198631,0.167256355,0.616545014
CryptoPunks,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,https://static.nftgo.io/asset/1624854837360.png,0,0.577672278,0.545,0.555,0.883260784,0.072022161,0.044717056,63,0.435005504,0.497474222,0.067520274
CryptoSkulls,0xc1caf0c19a8ac28c41fe59ba6c754e4b9bd54de9,https://lh3.googleusercontent.com/mxXgfafTwxpLtvGStBGIX5G8W-AE-dfKTBh8E3h92cIKrXiIb8OmNP7hRA33wFGSDbut0MI84PQpnk3LGOe4hC2jkP-eEjejwYWK=s120,1,0.879480194,0.462,0.62,0.966346154,0.022575251,0.011078595,5,0.477470591,0.334753988,0.187775421
CyberKongz,0x57a204aa1042f6e66dd7730813f4024114d74f37,https://lh3.googleusercontent.com/LIpf9z6Ux8uxn69auBME9FCTXpXqSYFo8ZLO1GaM8T7S3hiKScHaClXe0ZdhTv5br6FE2g5i-J5SobhKFsYfe6CIMCv-UfnrlYFWOM4=s130,0,0.393203874,0.765,0.627,0.964799646,0.007305734,0.02789462,65,0.49915775,0.05048447,0.450357781
CyberKongz VX,0x7ea3cca10668b8346aec0bf1844a49e995527c8b,https://lh3.googleusercontent.com/vpJFZRfBl9ghj9IinaDB3w3xScD9AHwuXxpId50Yo80bw1Tt1BOhJg5pltBN-_wJwA0aCyHbcxIbXNnQ1cKd9xlc5ATdJUL4Yy3kDQ=s130,3,0.012546763,0.181,0.271,0.968938253,0.016001506,0.015060241,20,0.117513381,0.273265527,0.609221092
DeadFellaz,0x2acab3dea77832c09420663b0e1cb386031ba17b,https://lh3.googleusercontent.com/seJEwLWJP3RAXrxboeG11qbc_MYrxwVrsxGH0s0qxvF68hefOjf5qrPSKkIknUTYzfvinOUPWbYBdM8VEtGEE980Qv2ti_GGd86OWQ=s130,3,0.327366346,0.115,0.1,0.958349402,0.01889703,0.022753567,31,0.853619043,0.008316972,0.138063985
DEGEN TOONZ COLLECTION,0x19b86299c21505cdf59ce63740b240a9c822b5e4,https://lh3.googleusercontent.com/3Rk7PFs3XX1ja50aKi8lxh9x67yNX5kZLti7gPlHvWsS7iuXSUdQGctoOXtto7uLLLnvwxe1uhWN6WmmZvVWCcQ-Qm7a8K2KFmEZJC4=s120,1,0.787412032,0.611,0.095,0.916159251,0.051990632,0.031850117,5,0.140840257,0.358454114,0.500705628
Doodles,0x8a90cab2b38dba80c64b7734e58ee1db38b8992e,https://lh3.googleusercontent.com/7B0qai02OdHA8P_EOVK672qUliyjQdQDGNrACxs7WnTgZAkJa_wWURnIFKeOh5VTf8cfTqW3wQpozGedaC9mteKphEOtztls02RlWQ=s130,3,0.36904196,0.514,0.935,0.901737101,0.049261084,0.049001815,87,0.675938168,0.254869881,0.069191951
Dooplicator,0x466cfcd0525189b573e794f554b8a751279213ac,https://lh3.googleusercontent.com/RrCR2EKxJnu_JoadezfSwRBFeiYexn54OwWyAtGdCfZpfvwmjlxiqrajlOrIJ1ri9SRnc6P-UxW9_saOFwp69vUDcxxr_Wr2S_YXjqc=s120,2,0.41079747,0.05,0.971,0.949663851,0.029305292,0.021030857,48,0.191176733,0.617479697,0.19134357
FLUF World,0xccc441ac31f02cd96c153db6fd5fe0a2f4e6a68d,https://static.nftgo.io/asset/1629898176742.png,3,0.341292769,0.579,0.342,0.972968701,0.003319633,0.023711666,20,0.104286642,0.615199161,0.280514197
